Periodo;IPSA Retorno
ago.2018;-0.0301779024149682
sept.2018;0.00248366360303875
oct.2018;-0.0339167185574796
nov.2018;0.00147913634110641
dic.2018;-0.0012617667081386
ene.2019;0.0587962228450882
feb.2019;-0.021842123275634
mar.2019;-0.00532005431637395
abr.2019;-0.013748690442464
may.2019;-0.0404869773090938
jun.2019;0.0188121974888942
jul.2019;-0.0193976397829106
ago.2019;-0.0337847621652495
sept.2019;0.0530079906418532
oct.2019;-0.0622469875707644
nov.2019;-0.0432808544453883
dic.2019;0.0288732704679651
ene.2020;-0.0209407154405388
feb.2020;-0.0982992349181769
mar.2020;-0.15406184886832
abr.2020;0.140522266730514
may.2020;-0.0829553796800049
jun.2020;0.0853766860401359
jul.2020;0.014665245439528
ago.2020;-0.0622168341183148
sept.2020;-0.0344690283105265
oct.2020;-0.0267726060539412
nov.2020;0.139254559425072
dic.2020;0.0357933679984725
ene.2021;0.0266756359492675
feb.2021;0.0663891900714677
mar.2021;0.071002346191102
abr.2021;-0.0868195561943533
may.2021;-0.0260259700771769
jun.2021;-0.00576159837297985
jul.2021;-0.0183061553841429
ago.2021;0.056332960179114
sept.2021;-0.0287160168938699
oct.2021;-0.0619792371045641
nov.2021;0.0832095205512928
dic.2021;-0.0280483045360513
ene.2022;0.055721640152447
feb.2022;-0.00307357451439494
mar.2022;0.0887645083107838
abr.2022;-0.0321128141349856
may.2022;0.119715052852087
jun.2022;-0.0747764686532796
jul.2022;0.0623506430806462
ago.2022;0.0346469419381827
sept.2022;-0.0601092394041087
oct.2022;0.0155684477893863
nov.2022;0.0170972754105367
dic.2022;-0.00391851755098327
ene.2023;0.0114939252096673
feb.2023;0.0136235788809163
mar.2023;-0.0130271182042299
abr.2023;0.0171786906859082
may.2023;0.0102380130315411
jun.2023;0.0576181477244067
