NASDAQ
3M
Abbott Labs
AbbVie
Accenture
Activision Blizzard
Adobe
ADP
Advance Auto Parts
Aflac
Agilent Technologies
AIG
Air Products
Akamai
Alaska Air
Albemarle
Alexandria RE
Align
Allegion PLC
Alliant Energy
Allstate
Alphabet A
Alphabet C
Altria
Amazon.com
Amcor PLC
AMD
Ameren
American Airlines
American Electric Power
American Express
American Tower
American Water Works
Ameriprise Financial
AmerisourceBergen
Ametek
Amgen
Amphenol
Analog Devices
ANSYS
AO Smith
Aon
APA Corp
Apple
Applied Materials
Aptiv
Arch Capital
Archer-Daniels-Midland
Arista Networks
Arthur J Gallagher
Assurant
AT&T
Atmos Energy
Autodesk
AutoZone
AvalonBay
Avery Dennison
Axon Enterprise
Baker Hughes
Ball
Bank of America
Bank of NY Mellon
Bath & Body Works
Baxter
Becton Dickinson
Berkshire Hathaway B
Best Buy
Bio-Rad Labs
Bio-Techne
Biogen
BlackRock
Boeing
Booking
BorgWarner
Boston Properties
Boston Scientific
Bristol-Myers Squibb
Broadcom
Broadridge
Brown Forman
Brown&Brown
Bunge
Cadence Design
Caesars
Camden Property
Campbell Soup
Capital One Financial
Cardinal Health
CarMax
Carnival Corp
Carrier Global
Catalent Inc
Caterpillar
Cboe Global
CBRE A
CDW Corp
Celanese
Centene
CenterPoint Energy
Ceridian HCM
CF Industries
CH Robinson
Charles River Laboratories
Charter Communications
Chevron
Chipotle Mexican Grill
Chubb
Church&Dwight
Cigna
Cincinnati Financial
Cintas
Cisco
Citigroup
Citizens Financial Group Inc
Clorox
CME Group
CMS Energy
Coca-Cola
Cognizant A
Colgate-Palmolive
Comcast
Comerica
ConAgra Foods
ConocoPhillips
Consolidated Edison
Constellation Brands A
Constellation Energy
Cooper
Copart
Corning
Corteva
CoStar
Costco
Coterra Energy
Crown Castle
CSX
Cummins
CVS Health Corp
Danaher
Darden Restaurants
DaVita
Deere&Company
Delta Air Lines
Dentsply
Devon Energy
DexCom
Diamondback
Digital
Discover
DISH Network
Dollar General
Dollar Tree
Dominion Energy
Domino’s Pizza Inc
Dover
Dow
DR Horton
DTE Energy
Duke Energy
DuPont De Nemours
DXC Technology
Eastman Chemical
Eaton
eBay
Ecolab
Edison
Edwards Lifesciences
Electronic Arts
Elevance Health
Eli Lilly
Emerson
Enphase
Entergy
EOG Resources
EPAM Systems
EQT
Equifax
Equinix
Equity Residential
Essex Property
Estee Lauder
Etsy Inc
Everest
Evergy
Eversource Energy
Exelon
Expedia
Expeditors Washington
Extra Space Storage
Exxon Mobil
F5 Networks
FactSet Research
Fair Isaac
Fastenal
Federal Realty
FedEx
Fidelity National Info
Fifth Third
First Solar
FirstEnergy
Fiserv
FleetCor
FMC
Ford Motor
Fortinet
Fortive
Fox Corp A
Fox Corp B
Franklin Resources
Freeport-McMoran
Garmin
Gartner
GE HealthCare
Gen Digital
Generac
General Dynamics
General Electric
General Mills
General Motors
Genuine Parts
Gilead
Global Payments
Globe Life
Goldman Sachs
Halliburton
Hartford
Hasbro
HCA
Healthpeak Properties
Henry Schein
Hershey Co
Hess
Hewlett Packard
Hilton Worldwide
Hologic
Home Depot
Honeywell
Hormel Foods
Host Hotels Resorts
Howmet
HP Inc
Humana
Huntington Bancshares
Huntington Ingalls Industries
IBM
ICE
IDEX
IDEXX Labs
IFF
Illinois Tool Works
Illumina
Incyte
Ingersoll Rand
Insulet
Intel
International Paper
Intuit
Intuitive Surgical
Invesco
Invitation Homes
IPG
IQVIA Holdings
Iron Mountain
J&J
Jack Henry&Associates
Jacobs Engineering
JB Hunt
JM Smucker
Johnson Controls
JPMorgan
Juniper
